,Latitude,Longitude,TVD_FT,Vintage,LateralLength_FT,WellsPerSectionSameZone,Payzone_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,ClayVolume_PCT,NonClayVolume_PCT,WaterSaturation_PCT,PhiH_FT,HCPV_PCT,HeightOfHCPV_FT,TotalOrganicCarbon_WTPCT,CONDENSATE,DRY GAS,OIL,WET GAS,1ST BONE SPRING,2ND BONE SPRING,2ND BONE SPRING SAND,3RD BONE SPRING,3RD BONE SPRING SAND,LOWER AVALON,MIDDLE AVALON,UPPER AVALON,WOLFCAMP A LOWER,WOLFCAMP A UPPER,WOLFCAMP B LOWER,WOLFCAMP B UPPER,WOLFCAMP C,WOLFCAMP D,CHILD,CO-COMPLETED,PARENT,STANDALONE,EURWH_MBOE,OilEURWH_MBBL,GasEURWH_BCF
7874,32.225157,-103.613982,9538.0,2016,4532.0,5.0,451.0,58.89,2.5,833.32,0.119,0.101,0.12,0.78,0.17,45.55,0.089,40.0,3.01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1445,287,6.9
7875,31.316841,-103.303657,10766.0,2016,4428.0,5.0,139.0,83.21,2.53,109.76,0.108,0.087,0.19,0.73,0.29,12.11,0.065,9.1,3.06,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,434,312,0.7
7876,31.126647,-103.580775,10705.0,2022,7689.0,3.0,293.0,78.57,2.57,94.7,0.08,0.062,0.2,0.73,0.59,18.29,0.04,11.6,2.64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,769,531,1.4
7877,32.614114,-103.916304,8796.0,2014,4390.0,5.0,281.0,74.1,2.58,93.51,0.074,0.065,0.14,0.8,0.42,18.28,0.032,9.0,1.46,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,721,409,1.9
7878,32.110144,-104.231247,7785.0,2015,4118.0,4.0,926.0,48.98,2.62,323.26,0.054,0.046,0.11,0.83,0.53,42.27,0.023,21.8,1.16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,654,304,2.1
7879,32.227341,-103.734601,9036.0,2022,9411.0,5.0,412.0,67.86,2.55,815.36,0.093,0.08,0.11,0.81,0.15,32.8,0.07,28.8,2.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1026,328,4.2
7880,32.482946,-104.168188,9137.0,2021,9926.0,3.0,372.0,79.88,2.58,14.63,0.077,0.063,0.16,0.77,0.55,23.58,0.03,11.1,1.31,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,787,536,1.5
7881,32.225861,-103.582026,9386.0,2021,11099.0,1.0,392.0,71.34,2.58,852.01,0.073,0.062,0.12,0.82,0.4,24.38,0.044,17.3,2.09,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1614,206,8.5
7882,32.131746,-103.54248,10615.0,2023,7335.0,3.0,348.0,74.25,2.55,241.28,0.096,0.08,0.15,0.76,0.26,27.7,0.064,22.2,2.64,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,841,593,1.5
7883,32.38391,-103.44158,10446.0,2017,4101.0,4.0,383.0,74.34,2.58,120.4,0.078,0.066,0.14,0.79,0.29,25.23,0.048,18.6,1.84,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,621,422,1.2
7884,32.368054,-103.749779,8294.0,2015,4376.0,2.0,570.0,66.9,2.6,1269.57,0.067,0.054,0.15,0.8,0.37,30.85,0.037,20.9,2.33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,987,705,1.7
7885,32.724365,-103.985077,8242.0,2012,4218.0,4.0,375.0,79.56,2.61,96.27,0.06,0.051,0.15,0.79,0.29,19.27,0.03,11.2,1.42,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,365,259,0.6
7886,32.167393,-103.506271,9471.0,2014,4340.0,6.0,369.0,84.01,2.51,601.81,0.114,0.092,0.19,0.72,0.16,33.94,0.08,29.6,3.69,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1028,175,5.1
7887,32.03466,-103.674451,9369.0,2011,3985.0,3.0,309.0,83.23,2.49,497.15,0.131,0.104,0.2,0.7,0.29,32.16,0.078,24.2,3.62,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,379,216,1.0
7888,32.095023,-103.529681,12704.0,2019,4495.0,10.0,147.0,69.74,2.55,125.96,0.092,0.079,0.16,0.76,0.43,11.6,0.05,7.4,2.38,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,472,349,0.7
7889,32.225426,-103.597551,9571.0,2016,4411.0,6.0,435.0,56.68,2.52,804.33,0.109,0.095,0.1,0.81,0.22,41.39,0.077,33.6,2.53,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,663,281,2.3
7890,32.091923,-103.492334,11042.0,2018,4472.0,1.0,438.0,61.07,2.57,146.34,0.097,0.07,0.12,0.79,0.25,30.44,0.047,20.5,1.83,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,522,292,1.4
7891,32.050331,-104.214865,9528.0,2019,9923.0,7.0,441.0,89.75,2.55,105.33,0.091,0.072,0.21,0.73,0.39,31.79,0.049,21.5,2.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2007,721,7.7
7892,32.368928,-103.608837,10785.0,2019,10324.0,5.0,512.0,83.47,2.58,33.07,0.076,0.064,0.16,0.77,0.47,32.97,0.04,20.4,1.82,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1215,792,2.5
7893,31.708,-103.779293,11014.0,2023,5202.0,3.0,158.0,78.67,2.55,72.24,0.091,0.071,0.21,0.69,0.46,11.27,0.043,6.8,2.56,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,765,387,2.3
7894,32.566939,-103.778785,9598.0,2021,10278.0,4.0,412.0,81.76,2.58,140.7,0.077,0.066,0.15,0.78,0.35,27.03,0.044,18.0,2.39,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,992,698,1.8
7895,32.581383,-103.672101,9244.0,2022,9894.0,1.0,312.0,79.37,2.6,317.15,0.066,0.058,0.14,0.8,0.55,18.01,0.026,8.2,1.82,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1056,643,2.5
7896,31.969448,-104.181424,7457.0,2013,4384.0,5.0,305.0,77.71,2.58,44.32,0.073,0.061,0.18,0.76,0.32,18.64,0.029,8.8,1.98,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,667,201,2.8
7897,31.07561,-103.26073,10443.0,2016,6983.0,2.0,214.0,81.65,2.52,45.76,0.117,0.083,0.23,0.69,0.48,17.82,0.041,8.7,3.15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,915,528,2.3
7898,32.001034,-104.079076,9621.0,2021,11963.0,6.0,150.0,78.84,2.59,142.33,0.07,0.057,0.18,0.77,0.48,8.52,0.034,5.1,2.75,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3666,2231,8.6
7899,32.065616,-103.782634,11750.0,2022,10127.0,5.0,195.0,66.23,2.56,72.7,0.088,0.07,0.19,0.74,0.5,13.65,0.044,8.6,2.32,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1614,659,5.7
7900,31.97084,-103.53193,12747.0,2017,9868.0,3.0,118.0,74.08,2.56,190.25,0.076,0.075,0.2,0.74,0.5,8.82,0.044,5.2,2.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2159,1478,4.1
7901,31.663757,-103.883251,10620.0,2018,4356.0,5.0,212.0,87.04,2.57,144.86,0.081,0.067,0.18,0.76,0.37,14.2,0.046,9.8,2.43,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,859,247,3.7
7902,31.378863,-103.487776,10643.0,2018,10984.0,4.0,182.0,101.75,2.54,123.59,0.118,0.077,0.21,0.7,0.31,14.28,0.055,9.9,2.95,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,413,0,2.5
7903,31.556083,-103.327051,11302.0,2019,4643.0,1.0,149.0,89.84,2.51,38.36,0.118,0.083,0.25,0.66,0.28,12.42,0.055,8.2,3.74,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,472,329,0.9
7904,31.666027,-103.355522,11939.0,2022,11300.0,1.0,101.0,95.12,2.5,89.15,0.12,0.094,0.22,0.69,0.28,9.41,0.073,7.3,3.58,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1280,1075,1.2
7905,31.819328,-104.262376,8188.0,2022,10424.0,2.0,107.0,72.29,2.57,66.89,0.082,0.065,0.19,0.75,0.47,7.05,0.038,4.0,2.37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2314,517,10.8
7906,31.819494,-104.261925,8136.0,2021,9810.0,2.0,348.0,70.96,2.58,10.52,0.078,0.063,0.2,0.74,0.61,21.89,0.021,7.5,1.96,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2868,777,12.5
7907,31.969735,-103.8839,9778.0,2022,10124.0,5.0,654.0,61.73,2.6,210.23,0.063,0.054,0.13,0.82,0.43,35.39,0.032,20.8,1.51,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1329,570,4.6
7908,31.86788,-103.891851,10309.0,2018,4294.0,1.0,280.0,62.19,2.54,162.18,0.098,0.066,0.19,0.74,0.44,18.5,0.041,11.5,2.25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1035,651,2.3
7909,31.47159,-103.2968,11051.0,2019,9400.0,1.0,104.0,90.19,2.54,74.63,0.099,0.074,0.24,0.68,0.37,7.74,0.053,5.5,3.49,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1378,1053,1.9
7910,31.987482,-103.612737,10653.0,2022,4848.0,4.0,324.0,79.81,2.57,35.74,0.085,0.066,0.19,0.75,0.39,21.36,0.045,14.7,2.35,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,732,396,2.0
7911,32.06346,-103.723885,12093.0,2017,4591.0,3.0,198.0,57.91,2.61,109.35,0.056,0.047,0.17,0.79,0.71,9.29,0.018,3.6,1.21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1181,646,3.2
7912,32.080286,-103.450946,12780.0,2022,4649.0,1.0,83.0,76.32,2.54,208.72,0.102,0.081,0.21,0.71,0.34,6.6,0.058,4.9,3.19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,417,336,0.5
7913,32.092192,-103.63523,9733.0,2020,4701.0,2.0,385.0,69.09,2.52,507.67,0.109,0.086,0.21,0.7,0.2,33.21,0.07,26.8,3.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1361,546,4.9
7915,32.254793,-103.560378,11241.0,2014,4402.0,4.0,502.0,77.16,2.56,34.21,0.086,0.071,0.18,0.75,0.47,35.47,0.036,17.9,1.96,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,569,425,0.9
7916,32.107714,-103.550283,9480.0,2010,3705.0,4.0,403.0,32.68,2.57,574.53,0.082,0.076,0.06,0.87,0.23,30.62,0.059,23.9,1.47,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,507,236,1.6
7917,32.472257,-103.569884,11707.0,2015,4074.0,2.0,257.0,69.62,2.59,6.99,0.072,0.064,0.16,0.78,0.72,16.56,0.018,4.6,0.81,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,562,431,0.8
7918,32.701466,-103.933,8730.0,2012,3269.0,3.0,340.0,73.93,2.59,79.5,0.077,0.062,0.15,0.78,0.43,21.25,0.033,11.2,1.44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,398,301,0.6
7920,31.694724,-103.42548,11596.0,2017,10246.0,5.0,125.0,92.21,2.52,81.11,0.111,0.088,0.23,0.69,0.26,10.93,0.07,8.7,3.23,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1069,932,0.8
7921,31.879353,-104.309822,8002.0,2017,9990.0,1.0,96.0,92.12,2.53,61.18,0.106,0.082,0.22,0.7,0.34,7.79,0.059,5.6,3.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3345,969,14.3
7922,31.305207,-103.631649,10489.0,2020,9609.0,4.0,302.0,75.55,2.58,75.97,0.079,0.062,0.2,0.74,0.53,18.87,0.034,10.1,1.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1647,433,7.3
7923,31.762707,-103.338851,12197.0,2014,4419.0,3.0,146.0,83.7,2.51,98.65,0.119,0.092,0.22,0.69,0.25,13.5,0.071,10.3,3.52,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,357,326,0.2
7924,32.717511,-103.899324,8840.0,2014,4316.0,3.0,298.0,73.63,2.6,116.61,0.064,0.057,0.15,0.8,0.36,16.95,0.03,8.9,1.27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,311,186,0.7
7925,32.078746,-103.676811,10716.0,2013,3446.0,3.0,743.0,55.8,2.61,164.65,0.06,0.051,0.13,0.82,0.55,37.76,0.026,19.7,1.43,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,484,320,1.0
7926,31.482985,-103.618419,10528.0,2012,4223.0,1.0,257.0,81.25,2.54,155.17,0.1,0.077,0.22,0.7,0.36,19.75,0.057,14.7,2.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,233,107,0.8
7927,31.402494,-103.325269,10631.0,2011,2510.0,3.0,273.0,74.78,2.57,38.55,0.083,0.068,0.2,0.72,0.29,18.46,0.045,12.4,2.42,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,619,510,0.7
7929,32.339906,-103.735375,10453.0,2017,9588.0,2.0,421.0,71.31,2.59,32.94,0.072,0.061,0.16,0.78,0.53,25.62,0.029,12.3,1.88,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1259,988,1.6
7930,32.028281,-103.717561,11619.0,2022,10084.0,4.0,162.0,69.95,2.57,48.57,0.073,0.06,0.17,0.77,0.59,9.77,0.032,5.3,1.68,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1994,1063,5.6
7931,32.078969,-103.728423,11786.0,2021,9792.0,2.0,145.0,76.26,2.6,80.78,0.065,0.05,0.21,0.73,0.77,7.63,0.014,2.1,1.63,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1920,985,5.6
7932,32.240781,-103.663041,12350.0,2022,9945.0,2.0,339.0,86.81,2.58,336.01,0.087,0.074,0.13,0.79,0.32,25.07,0.054,18.2,2.19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1279,773,3.0
7933,31.450268,-103.504825,11296.0,2017,5109.0,2.0,250.0,74.06,2.55,44.54,0.094,0.074,0.21,0.72,0.45,18.46,0.048,12.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,544,193,2.1
7934,31.971721,-104.064873,10277.0,2019,10123.0,11.0,449.0,81.24,2.56,132.29,0.09,0.074,0.21,0.72,0.37,33.21,0.058,25.9,3.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1969,460,9.1
7935,31.216167,-103.167922,10682.0,2016,4576.0,1.0,174.0,71.99,2.54,104.71,0.098,0.079,0.19,0.74,0.34,13.77,0.064,11.1,2.96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,635,352,1.7
7936,32.138716,-103.604377,10450.0,2023,9971.0,2.0,372.0,77.09,2.55,302.13,0.097,0.078,0.16,0.75,0.26,29.01,0.062,23.2,2.69,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1329,989,2.0
7937,31.699375,-103.418992,11668.0,2018,5924.0,1.0,141.0,84.24,2.51,92.77,0.116,0.097,0.21,0.66,0.31,13.63,0.073,10.3,2.98,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,513,446,0.4
7938,31.187339,-103.28874,10683.0,2017,4882.0,2.0,135.0,93.02,2.51,63.83,0.132,0.102,0.23,0.67,0.28,13.7,0.049,6.6,3.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,337,248,0.5
7939,32.04953,-103.615853,12575.0,2022,9854.0,4.0,266.0,90.06,2.51,34.67,0.126,0.092,0.19,0.71,0.61,24.59,0.026,6.9,2.98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,615,498,0.7
7940,32.209951,-104.222185,9730.0,2018,6788.0,1.0,306.0,76.9,2.59,133.53,0.072,0.056,0.2,0.74,0.49,17.16,0.033,10.0,2.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1256,385,5.2
7941,32.053236,-103.83799,11125.0,2022,6920.0,7.0,155.0,55.6,2.57,134.42,0.081,0.071,0.21,0.72,0.48,11.08,0.039,6.1,2.69,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,725,317,2.4
7942,32.457816,-103.596297,10135.0,2022,7241.0,2.0,281.0,74.9,2.63,246.69,0.062,0.051,0.13,0.83,0.58,14.37,0.025,7.0,1.76,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,465,341,0.7
7943,31.798314,-103.484748,11869.0,2020,9825.0,2.0,137.0,79.61,2.55,127.25,0.096,0.075,0.21,0.71,0.3,10.71,0.053,7.2,2.93,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,441,351,0.5
7944,31.970027,-103.869017,9301.0,2022,10301.0,4.0,429.0,71.64,2.57,48.38,0.082,0.067,0.16,0.78,0.35,28.54,0.04,17.0,1.74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1763,864,5.4
7945,31.897506,-103.871286,8956.0,2016,4467.0,1.0,447.0,67.42,2.57,51.52,0.08,0.064,0.16,0.76,0.3,28.56,0.041,18.1,1.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,688,419,1.6
7946,31.730497,-104.246609,8334.0,2015,9366.0,1.0,114.0,47.18,2.54,58.29,0.096,0.08,0.18,0.75,0.54,9.03,0.033,3.7,2.16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2370,436,11.6
7947,31.203358,-103.521807,10853.0,2014,5420.0,4.0,262.0,80.12,2.57,58.1,0.084,0.066,0.2,0.73,0.57,17.35,0.037,9.7,2.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,676,637,0.2
7948,31.458744,-103.326029,10925.0,2011,3500.0,1.0,329.0,86.25,2.57,18.38,0.084,0.063,0.22,0.72,0.33,20.83,0.045,14.9,2.53,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,571,481,0.5
7949,32.209185,-103.643281,12398.0,2020,5214.0,4.0,360.0,67.05,2.59,428.95,0.073,0.063,0.12,0.82,0.3,22.5,0.046,16.7,1.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2333,1397,5.6
7950,32.276726,-103.944505,9137.0,2021,7192.0,4.0,270.0,66.64,2.59,32.39,0.075,0.062,0.14,0.8,0.47,16.71,0.029,7.9,1.07,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,478,321,0.9
7951,32.109403,-103.305698,12037.0,2022,10104.0,1.0,97.0,58.34,2.61,150.77,0.057,0.046,0.12,0.83,0.61,4.48,0.026,2.5,1.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1101,855,1.5
7952,32.138241,-104.095985,9421.0,2022,4386.0,2.0,133.0,77.25,2.55,40.41,0.12,0.078,0.18,0.74,0.64,10.06,0.037,4.9,2.33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,518,257,1.6
7953,32.194772,-103.592922,11134.0,2018,7043.0,7.0,430.0,62.67,2.56,22.18,0.09,0.074,0.18,0.76,0.43,31.79,0.044,19.0,2.13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1463,1108,2.1
7954,32.10939,-103.564594,12471.0,2020,4735.0,5.0,131.0,71.52,2.56,157.72,0.087,0.068,0.18,0.75,0.38,9.29,0.045,5.8,2.49,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,812,531,1.7
7955,32.338952,-104.033146,9900.0,2021,9771.0,1.0,104.0,60.69,2.61,49.31,0.059,0.048,0.14,0.81,0.72,5.52,0.016,1.6,1.26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2202,470,10.4
7956,32.227618,-103.440423,10470.0,2021,4787.0,1.0,334.0,62.78,2.55,261.62,0.093,0.08,0.12,0.8,0.29,26.69,0.059,19.8,2.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,288,190,0.6
7957,32.000865,-104.001565,8399.0,2022,6846.0,3.0,317.0,77.6,2.57,49.66,0.081,0.065,0.19,0.75,0.34,20.69,0.036,11.5,1.99,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1488,886,3.6
7958,32.229409,-104.084822,10444.0,2023,9670.0,3.0,273.0,93.96,2.55,106.47,0.093,0.071,0.23,0.69,0.4,19.34,0.046,12.5,2.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1068,257,4.9
7959,32.194865,-103.596691,12485.0,2020,7261.0,6.0,171.0,61.5,2.57,186.07,0.079,0.064,0.16,0.78,0.41,11.25,0.039,6.7,1.97,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1255,788,2.8
7960,31.999276,-103.622456,12082.0,2017,4583.0,11.0,147.0,89.66,2.57,126.8,0.083,0.065,0.21,0.73,0.56,9.67,0.032,4.8,2.03,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,710,246,2.8
7961,31.03847,-103.615098,9989.0,2021,7149.0,1.0,316.0,40.98,2.58,204.74,0.075,0.069,0.08,0.85,0.36,21.88,0.047,14.8,1.38,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,304,178,0.8
7962,31.894921,-104.136121,9123.0,2018,9981.0,2.0,139.0,79.07,2.58,54.27,0.084,0.067,0.21,0.73,0.49,9.38,0.038,5.3,3.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2539,1232,7.8
7963,32.102169,-103.827958,12106.0,2021,7165.0,1.0,213.0,65.36,2.53,67.3,0.101,0.081,0.22,0.7,0.71,17.27,0.026,5.5,2.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2157,632,9.2
7964,32.298843,-104.048284,7551.0,2023,10444.0,1.0,279.0,68.43,2.57,163.13,0.082,0.069,0.16,0.78,0.55,19.11,0.033,9.1,2.03,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1356,646,4.3
7965,31.811154,-103.723333,11208.0,2019,7286.0,4.0,148.0,98.48,2.56,148.59,0.091,0.069,0.21,0.72,0.35,10.3,0.047,6.9,2.65,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1169,786,2.3
7966,31.966202,-104.366833,8073.0,2020,11461.0,4.0,206.0,91.05,2.58,19.58,0.081,0.058,0.32,0.63,0.77,12.0,0.02,4.0,1.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2014,263,10.5
7967,31.5169,-103.249436,11312.0,2021,4731.0,2.0,100.0,104.04,2.51,57.39,0.114,0.088,0.26,0.66,0.43,8.7,0.052,5.2,3.08,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,126,101,0.1
7968,31.971547,-103.621099,12000.0,2017,3494.0,8.0,152.0,96.05,2.58,193.95,0.078,0.058,0.23,0.71,0.53,9.13,0.03,4.6,2.31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,958,596,2.2
7969,31.24558,-103.03206,10379.0,2018,10015.0,1.0,558.0,99.12,2.6,14.11,0.075,0.033,0.32,0.63,1.0,18.79,0.009,4.9,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,834,625,1.3
7970,31.941112,-104.068097,8088.0,2014,4317.0,3.0,403.0,70.89,2.59,77.48,0.073,0.059,0.18,0.76,0.29,23.91,0.033,13.4,2.01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,326,147,1.1
7971,31.649991,-103.92111,10087.0,2016,7521.0,1.0,183.0,96.47,2.56,169.29,0.09,0.073,0.18,0.75,0.25,13.39,0.058,10.6,2.78,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1091,275,4.9
7972,31.570611,-103.825398,10587.0,2014,10199.0,2.0,186.0,68.83,2.56,195.61,0.091,0.067,0.24,0.69,0.42,12.4,0.036,6.7,2.19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1432,645,4.7
7973,31.955421,-104.176347,7502.0,2013,4509.0,5.0,310.0,78.52,2.58,44.98,0.072,0.061,0.18,0.76,0.31,18.82,0.029,8.9,1.98,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1105,302,4.8
7975,31.941058,-104.097265,10479.0,2017,4326.0,5.0,445.0,74.25,2.56,96.26,0.087,0.073,0.2,0.72,0.34,32.68,0.058,25.8,3.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,856,144,4.3
7976,31.046938,-103.490926,10519.0,2017,9448.0,2.0,174.0,74.02,2.56,159.79,0.088,0.062,0.18,0.75,0.26,10.7,0.048,8.4,2.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1524,1524,0.0
7977,32.312654,-103.692071,9409.0,2020,10187.0,3.0,429.0,68.49,2.48,936.37,0.101,0.086,0.14,0.78,0.2,37.03,0.069,29.7,2.87,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1779,909,5.2
