,Latitude,Longitude,TVD_FT,Vintage,LateralLength_FT,WellsPerSectionSameZone,Payzone_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,ClayVolume_PCT,NonClayVolume_PCT,WaterSaturation_PCT,PhiH_FT,HCPV_PCT,HeightOfHCPV_FT,TotalOrganicCarbon_WTPCT,CONDENSATE,DRY GAS,OIL,WET GAS,1ST BONE SPRING,2ND BONE SPRING,2ND BONE SPRING SAND,3RD BONE SPRING,3RD BONE SPRING SAND,LOWER AVALON,MIDDLE AVALON,UPPER AVALON,WOLFCAMP A LOWER,WOLFCAMP A UPPER,WOLFCAMP B LOWER,WOLFCAMP B UPPER,WOLFCAMP C,WOLFCAMP D,CHILD,CO-COMPLETED,PARENT,STANDALONE,EURWH_MBOE,OilEURWH_MBBL,GasEURWH_BCF
40,32.535683,-103.6103,11341.0,2014,4201.0,3.0,268.0,75.41,2.56,4.74,0.088,0.078,0.16,0.76,0.74,20.83,0.02,5.5,0.7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,691,547,0.9
41,32.095296,-104.082291,6690.0,2010,487.0,1.0,210.0,90.33,2.49,411.33,0.134,0.101,0.18,0.71,0.16,21.35,0.086,18.1,3.67,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,168,45,0.7
42,32.136778,-104.20156,7485.0,2014,4582.0,1.0,400.0,77.08,2.57,94.7,0.082,0.066,0.19,0.74,0.37,26.29,0.036,14.4,1.97,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,977,413,3.4
43,32.283762,-103.489912,10561.0,2014,3802.0,4.0,462.0,66.74,2.56,115.37,0.09,0.074,0.16,0.75,0.24,33.97,0.057,26.1,2.36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,728,532,1.2
44,32.050513,-104.047036,10688.0,2014,4158.0,1.0,327.0,115.18,2.5,127.3,0.104,0.092,0.22,0.68,0.35,30.02,0.054,17.6,3.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1327,414,5.5
45,32.196268,-104.087795,9492.0,2021,9968.0,2.0,135.0,74.18,2.55,45.77,0.095,0.08,0.16,0.75,0.59,10.3,0.036,4.8,2.51,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1650,1023,3.8
46,32.427104,-103.521832,10860.0,2021,9938.0,3.0,439.0,70.63,2.57,28.42,0.082,0.069,0.16,0.77,0.38,30.15,0.041,18.1,1.89,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2057,1741,1.9
47,32.151694,-103.761092,10410.0,2014,4223.0,3.0,475.0,66.96,2.57,21.63,0.081,0.067,0.17,0.76,0.5,31.92,0.032,15.2,1.45,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,748,463,1.7
48,32.107924,-103.601226,9880.0,2014,4390.0,5.0,305.0,69.99,2.5,369.58,0.126,0.097,0.22,0.68,0.15,29.49,0.088,26.8,3.44,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,650,336,1.9
49,32.637273,-103.898467,8968.0,2013,4188.0,3.0,320.0,79.25,2.58,41.87,0.072,0.064,0.14,0.8,0.47,20.36,0.028,9.0,1.11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,197,135,0.4
